key,instantiationMoment,banner-start-time,banner-end-time,picture,slogan,link
banner-01,2021/07/28 0:00,2021/08/01 0:00,2021/08/20 0:00,https://github.com/DP2-c1-028/Acme-SF-D02/tree/main/src/main/webapp/META-INF/resources/images/fotoperfil.png,Slogan default,https://www3.animeflv.net/anime/one-piece-tv
banner-02,2020/07/31 0:00,2021/07/30 0:00,2021/08/25 0:00,https://github.com/DP2-c1-028/Acme-SF-D02/tree/main/src/main/webapp/META-INF/resources/images/fotoperfil.png,Slogan default,https://www3.animeflv.net/anime/one-piece-tv
banner-03,1970/01/01 0:00,1970/01/02 0:00,1970/01/10 0:00,https://github.com/DP2-c1-028/Acme-SF-D02/tree/main/src/main/webapp/META-INF/resources/images/fotoperfil.png,Slogan default,https://www3.animeflv.net/anime/one-piece-tv
banner-04,1999/08/02 0:00,2000/02/15 0:00,2000/02/27 0:00,https://github.com/DP2-c1-028/Acme-SF-D02/tree/main/src/main/webapp/META-INF/resources/images/fotoperfil.png,Slogan default,https://www3.animeflv.net/anime/one-piece-tv
banner-05,1999/08/03 0:00,2000/07/09 0:00,2000/07/17 0:00,https://github.com/DP2-c1-028/Acme-SF-D02/tree/main/src/main/webapp/META-INF/resources/images/fotoperfil.png,Slogan default,https://www3.animeflv.net/anime/one-piece-tv
banner-06,2021/08/04 0:00,2022/06/22 0:00,2022/06/30 0:00,https://github.com/DP2-c1-028/Acme-SF-D02/tree/main/src/main/webapp/META-INF/resources/images/fotoperfil.png,Slogan default,https://www3.animeflv.net/anime/one-piece-tv
banner-07,2022/07/21 0:00,2022/07/22 0:00,2022/07/29 0:00,https://github.com/DP2-c1-028/Acme-SF-D02/tree/main/src/main/webapp/META-INF/resources/images/fotoperfil.png,Slogan default,https://www3.animeflv.net/anime/one-piece-tv
banner-08,2020/08/06 0:00,2021/08/06 0:00,2021/09/06 0:00,https://github.com/DP2-c1-028/Acme-SF-D02/tree/main/src/main/webapp/META-INF/resources/images/fotoperfil.png,Slogan default,https://www3.animeflv.net/anime/one-piece-tv
banner-09,2020/08/06 0:00,2021/08/06 0:00,2021/09/06 0:00,https://github.com/DP2-c1-028/Acme-SF-D02/tree/main/src/main/webapp/META-INF/resources/images/fotoperfil.png,SOYUNESLOGANDE75CARACTERESSOYUNESLOGANDE75CARACTERESSOYUNESLOGANDE75CARACT,https://www3.animeflv.net/anime/one-piece-tv
banner-10,2020/08/06 0:00,2021/08/06 0:00,2021/09/06 0:00,https://github.com/DP2-c1-028/Acme-SF-D02/tree/main/src/main/webapp/META-INF/resources/images/fotoperfil.png,a,https://www3.animeflv.net/anime/one-piece-tv
banner-11,2020/08/06 0:00,2021/08/06 0:00,2021/09/06 0:00,https://github.com/DP2-c1-028/Acme-SF-D02/tree/main/src/main/webapp/META-INF/resources/images/fotoperfil.png,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,https://www3.animeflv.net/anime/one-piece-tv
banner-12,2020/08/06 0:00,2021/08/06 0:00,2021/09/06 0:00,https://github.com/DP2-c1-028/Acme-SF-D02/tree/main/src/main/webapp/META-INF/resources/images/fotoperfil.png,UNODOSTRES,https://www3.animeflv.net/anime/one-piece-tv
banner-13,2020/08/06 0:00,2021/08/06 0:00,2021/09/06 0:00,https://github.com/DP2-c1-028/Acme-SF-D02/tree/main/src/main/webapp/META-INF/resources/images/fotoperfil.png,UNODOSTRES,https://www.google.com/?hl=es
banner-14,2020/08/06 0:00,2021/08/06 0:00,2021/09/06 0:00,https://github.com/DP2-c1-028/Acme-SF-D02/tree/main/src/main/webapp/META-INF/resources/images/fotoperfil.png,UNODOSTRES,https://www.ejemplo-url-ficticia-123.com/abcdefghijklmnopqrstuvwxyz0123456789ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0
banner-15,2020/08/06 0:00,2021/08/06 0:00,2021/09/06 0:00,https://github.com/DP2-c1-028/Acme-SF-D02/tree/main/src/main/webapp/META-INF/resources/images/fotoperfil.png,UNODOSTRES,https://www.google.com
banner-16,2020/08/06 0:00,2021/08/06 0:00,2021/09/06 0:00,https://github.com/DP2-c1-028/Acme-SF-D02/tree/main/src/main/webapp/META-INF/resources/images/fotoperfil.png,UNODOSTRES,https://www.ejemplo-url-ficticia-123.com/abcdefghijklmnopqrstuvYZabcdefghijklmnopqrstuvwxyz0123456789ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0
