key,code,execution,type,proposed-corrective-actions,link,key:project,key:auditor,draft-mode
code-audit-01,A-000,2021/07/30 0:00,Static,Lorem ipsum,http://www.lorem-ipsum.org,project-01,auditor-01,true
code-audit-02,Z-999,2021/07/30 0:00,Static,Lorem ipsum,http://www.lorem-ipsum.org,project-01,auditor-01,false
code-audit-03,AA-000,2021/07/30 0:00,Static,Lorem ipsum,http://www.lorem-ipsum.org,project-01,auditor-01,false
code-audit-04,ZZ-999,2021/07/30 0:00,Static,Lorem ipsum,http://www.lorem-ipsum.org,project-01,auditor-01,false
code-audit-05,AAA-000,2021/07/30 0:00,Static,Lorem ipsum,http://www.lorem-ipsum.org,project-01,auditor-01,false
code-audit-06,ZZZ-999,2021/07/30 0:00,Static,Lorem ipsum,http://www.lorem-ipsum.org,project-01,auditor-01,false
code-audit-07,A-001,2021/07/30 0:00,Static,Lorem ipsum,http://www.lorem-ipsum.org,project-01,auditor-01,false
code-audit-08,AA-001,2021/07/30 0:00,Static,Lorem ipsum,http://www.lorem-ipsum.org,project-01,auditor-01,false
code-audit-09,AAA-001,2021/07/30 0:00,Static,Lorem ipsum,http://www.lorem-ipsum.org,project-01,auditor-01,false
code-audit-10,Z-998,2021/07/30 0:00,Static,Lorem ipsum,http://www.lorem-ipsum.org,project-01,auditor-01,false
code-audit-11,ZZ-998,2021/07/30 0:00,Static,Lorem ipsum,http://www.lorem-ipsum.org,project-01,auditor-01,false
code-audit-12,ZZZ-998,2021/07/30 0:00,Static,Lorem ipsum,http://www.lorem-ipsum.org,project-01,auditor-01,false
code-audit-13,N-500,2021/07/30 0:00,Static,Lorem ipsum,http://www.lorem-ipsum.org,project-01,auditor-01,false
code-audit-14,NN-500,2021/07/30 0:00,Static,Lorem ipsum,http://www.lorem-ipsum.org,project-01,auditor-01,false
code-audit-15,NNN-500,2021/07/30 0:00,Static,Lorem ipsum,http://www.lorem-ipsum.org,project-01,auditor-01,false
code-audit-16,A-002,2000/01/01 0:00,Static,Lorem ipsum,http://www.lorem-ipsum.org,project-01,auditor-01,true
code-audit-17,A-003,2000/01/01 0:01,Static,Lorem ipsum,http://www.lorem-ipsum.org,project-01,auditor-01,true
code-audit-18,A-004,2011/06/15 12:00,Static,Lorem ipsum,http://www.lorem-ipsum.org,project-01,auditor-01,false
code-audit-19,A-005,2022/07/29 23:59,Static,Lorem ipsum,http://www.lorem-ipsum.org,project-01,auditor-01,false
code-audit-20,A-006,2022/07/30 0:00,Static,Lorem ipsum,http://www.lorem-ipsum.org,project-01,auditor-01,false
code-audit-21,A-007,2021/07/30 0:00,Dynamic,Lorem ipsum,http://www.lorem-ipsum.org,project-01,auditor-01,false
code-audit-22,A-008,2021/07/30 0:00,Static,L,http://www.lorem-ipsum.org,project-01,auditor-01,false
code-audit-23,A-009,2021/07/30 0:00,Static,Lo,http://www.lorem-ipsum.org,project-01,auditor-01,false
code-audit-24,A-010,2021/07/30 0:00,Static,Lorem ipsum Lorem ipsum Lorem ipsum,http://www.lorem-ipsum.org,project-01,auditor-01,false
code-audit-25,A-011,2021/07/30 0:00,Static,SOYUNTEXTOCON100CARACTERESSOYUNTEXTOCON100CARACTERESSOYUNTEXTOCON100CARACTERESSOYUNTEXTOCON100CARAC,http://www.lorem-ipsum.org,project-01,auditor-01,false
code-audit-26,A-012,2021/07/30 0:00,Static,SOYUNTEXTOCON100CARACTERESSOYUNTEXTOCON100CARACTERESSOYUNTEXTOCON100CARACTERESSOYUNTEXTOCON100CARACT,http://www.lorem-ipsum.org,project-01,auditor-01,false
code-audit-27,A-013,2021/07/30 0:00,Static,<h1>!</h1>,http://www.lorem-ipsum.org,project-01,auditor-01,false
code-audit-28,A-014,2021/07/30 0:00,Static,' or 'A'='A,http://www.lorem-ipsum.org,project-01,auditor-01,false
code-audit-29,A-015,2021/07/30 0:00,Static,국민경제의 발전을,http://www.lorem-ipsum.org,project-01,auditor-01,false
code-audit-30,A-016,2021/07/30 0:00,Static,العظمى واعتلاء,http://www.lorem-ipsum.org,project-01,auditor-01,false
code-audit-31,A-017,2021/07/30 0:00,Static,Lorem ipsum,,project-01,auditor-01,false
code-audit-32,A-018,2021/07/30 0:00,Static,Lorem ipsum,ftp://a,project-01,auditor-01,false
code-audit-33,A-019,2021/07/30 0:00,Static,Lorem ipsum,ftp://a.b,project-01,auditor-01,false
code-audit-34,A-020,2021/07/30 0:00,Static,Lorem ipsum,http://example.org?,project-01,auditor-01,false
code-audit-35,A-021,2021/07/30 0:00,Static,Lorem ipsum,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/",project-01,auditor-01,false
code-audit-36,A-022,2021/07/30 0:00,Static,Lorem ipsum,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/X",project-01,auditor-01,false
code-audit-37,A-023,2021/07/30 0:00,Static,Lorem ipsum,https://www.lorem-ipsum.org,project-01,auditor-01,false
code-audit-38,A-024,2021/07/30 0:00,Static,Lorem ipsum,ftp://www.lorem-ipsum.org,project-01,auditor-01,false
code-audit-39,A-025,2021/07/30 0:00,Static,Lorem ipsum,http://www.lorem-ipsum.org/dolor/sit.html,project-01,auditor-01,false
code-audit-40,A-026,2021/07/30 0:00,Static,Lorem ipsum,http://www.lorem-ipsum.org/dolor/sit.html#dolor,project-01,auditor-01,false
code-audit-41,A-027,2021/07/30 0:00,Static,Lorem ipsum,http://example.org?a=1&b=2,project-01,auditor-01,false
code-audit-42,A-028,2021/07/30 0:00,Static,Lorem ipsum,http://example.org?,project-01,auditor-01,false
code-audit-43,A-029,2021/07/30 0:00,Static,Lorem ipsum,http://example.org?a,project-01,auditor-01,false
code-audit-44,A-030,2021/07/30 0:00,Static,Lorem ipsum,http://example.org?a&b,project-01,auditor-01,false
code-audit-45,A-031,2021/07/30 0:00,Static,Lorem ipsum,http://example.org/,project-01,auditor-01,false
code-audit-46,A-032,2021/07/30 0:00,Static,Lorem ipsum,http://example.org/a,project-01,auditor-01,false
code-audit-47,A-033,2021/07/30 0:00,Static,Lorem ipsum,http://example.org/a/b,project-01,auditor-01,false
code-audit-48,A-034,2021/07/30 0:00,Static,Lorem ipsum,http://example.org/a/b?,project-01,auditor-01,false
code-audit-49,A-035,2021/07/30 0:00,Static,Lorem ipsum,http://example.org/a/b?a&b,project-01,auditor-01,false
code-audit-50,A-036,2021/07/30 0:00,Static,Lorem ipsum,http://www.lorem-ipsum.org,project-02,auditor-01,false
code-audit-51,A-037,2021/07/30 0:00,Static,Lorem ipsum,http://www.lorem-ipsum.org,project-03,auditor-01,false
code-audit-52,A-038,2021/07/30 0:00,Static,Lorem ipsum,http://www.lorem-ipsum.org,project-04,auditor-01,false
code-audit-53,A-039,2021/07/30 0:00,Static,Lorem ipsum,http://www.lorem-ipsum.org,project-05,auditor-01,false
code-audit-54,A-040,2021/07/30 0:00,Static,Lorem ipsum,http://www.lorem-ipsum.org,project-01,auditor-02,false
